what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1301502146734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502147359
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1301502147406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1301502147406
error,log,,,"Missing or failed server extension: ServerWorkingCopy Tomcat v7.0 Server at localhost. Enable tracing for more information",1301502147531
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1301502149875
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1301502149890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502164250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502166359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1301502166375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502173125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502179453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1301502179468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1301502179468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502180281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502184531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502187171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502256875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502258156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502272125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1301502273921
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1301502308578
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1301502308593
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1301502309000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502309062
started,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1301502344859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502346156
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1301502346562
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1301502347984
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1301502348015
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1301502348109
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1301502348125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502358171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502361437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502364593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502415781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1301502419046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502432031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502455265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502455921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502468734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502476140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502506656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1301502508109
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502512593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502512671
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301502514328
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502514328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502523046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502532859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502533203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502533640
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502540640
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502540703
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301502543937
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502551515
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502551609
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301502552734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1301502554109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502556625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502559703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1301502559859
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502566187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502567656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502570218
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502570328
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502570328
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301502571390
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301502571390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502574312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301502575531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1301502575546
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1301502578015
